Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
HTTP请求,1800,170,161,234,249,272,100,337,0.000%,90.49774,175.72,13.08
总体,1800,170,161,234,249,272,100,337,0.000%,90.49774,175.72,13.08
